record_id,subject_id,session_id,timestamp_ms,delta_band_power,theta_band_power,alpha_band_power,beta_band_power,gamma_band_power,signal_noise_ratio,eye_blink_artifact,mental_task_type,focus_level_score,cognitive_state
649,7,2,236538,2.829,0.577,7.792,6.337,0.891,19.15,No,Visual Stimulus,41.42,Focused
650,46,6,578963,3.1,4.745,4.689,4.521,1.77,22.15,No,Cognitive Load,33.42,Focused
651,13,5,515447,3.872,5.313,3.299,6.372,2.814,17.43,No,Motor Imagery,21.24,Fatigued
652,40,7,73591,4.841,3.878,7.165,3.745,2.195,14.78,Yes,Visual Stimulus,61.84,Relaxed
653,42,3,463406,0.831,1.535,3.899,0.774,0.172,28.62,No,Visual Stimulus,56.26,Focused
654,9,3,153706,0.74,2.069,2.864,4.253,3.819,32.25,No,Visual Stimulus,46.26,Relaxed
655,50,10,294507,4.719,3.118,7.559,9.34,3.395,35.59,No,Cognitive Load,9.58,Distracted
656,27,2,194824,2.884,5.749,6.871,6.45,1.116,10.44,No,Visual Stimulus,79.69,Focused
657,2,3,339148,3.267,1.86,6.828,1.298,2.504,33.8,Yes,Cognitive Load,17.49,Fatigued
658,5,10,113627,2.671,4.524,4.342,8.907,3.701,13.92,No,Resting,11.46,Fatigued
659,29,1,289014,0.921,2.917,6.421,3.054,0.474,19.96,No,Motor Imagery,62.31,Relaxed
660,37,5,37394,3.956,2.138,1.845,2.816,2.062,36.55,No,Resting,39.86,Fatigued
661,38,5,79795,3.863,3.008,4.799,3.322,1.879,20.91,No,Visual Stimulus,5.98,Relaxed
662,19,7,342553,1.903,0.892,7.879,5.983,1.7,11.9,No,Cognitive Load,35.56,Relaxed
663,8,4,42137,1.878,4.893,2.682,5.675,3.359,10.6,Yes,Cognitive Load,77.18,Focused
664,48,3,393369,4.27,1.838,6.458,5.168,1.585,21.55,No,Resting,61.52,Focused
665,45,1,138925,0.826,4.49,4.179,7.317,0.348,31.69,No,Visual Stimulus,36.28,Fatigued
666,1,8,536667,4.465,0.876,0.799,3.507,0.357,39.9,No,Motor Imagery,19.18,Relaxed
667,22,3,121169,1.655,5.753,6.223,7.93,0.267,32.56,No,Cognitive Load,63.18,Focused
668,17,2,169439,3.168,1.562,1.764,2.166,1.696,35.7,No,Cognitive Load,88.76,Distracted
669,7,4,149172,4.712,5.355,5.236,7.935,2.902,31.17,No,Visual Stimulus,64.63,Fatigued
670,25,3,375233,3.552,4.952,1.142,6.806,0.895,36.34,Yes,Cognitive Load,81.29,Fatigued
671,45,1,535337,2.365,5.823,7.602,6.99,2.621,7.67,No,Visual Stimulus,52.15,Distracted
672,4,3,394002,3.603,3.128,2.688,5.075,2.78,37.55,No,Visual Stimulus,71.8,Distracted
673,36,2,463120,2.048,4.501,2.198,6.837,1.095,18.87,No,Motor Imagery,89.62,Distracted
674,6,8,168112,1.748,2.539,1.469,1.258,2.442,37.26,No,Visual Stimulus,77.32,Focused
675,31,6,224062,4.985,1.514,7.595,8.59,2.771,7.65,No,Resting,90.99,Distracted
676,19,9,57986,3.879,2.937,5.839,1.028,1.92,30.03,Yes,Motor Imagery,43.11,Fatigued
677,44,8,431978,3.401,1.412,6.062,1.913,1.413,30.75,No,Visual Stimulus,90.42,Focused
678,39,10,356918,2.099,5.901,4.246,5.98,2.515,39.89,No,Visual Stimulus,62.16,Relaxed
679,27,3,105315,0.721,1.029,4.06,7.524,3.914,31.91,No,Motor Imagery,87.0,Distracted
680,10,5,319348,0.64,3.741,1.325,1.224,1.765,18.39,No,Cognitive Load,3.94,Fatigued
681,26,7,282229,2.994,3.946,4.699,9.247,1.628,24.5,No,Motor Imagery,65.79,Distracted
682,19,5,468013,3.929,3.459,2.352,9.749,1.911,17.83,Yes,Cognitive Load,84.8,Relaxed
683,39,8,225687,2.918,4.142,7.829,6.257,0.397,11.86,No,Motor Imagery,17.42,Focused
684,3,5,296124,4.284,1.139,6.474,5.072,2.257,13.7,No,Motor Imagery,66.18,Relaxed
685,45,1,145213,0.65,3.553,3.597,7.543,1.382,12.77,No,Resting,82.5,Focused
686,13,5,15896,2.15,2.08,1.635,3.619,0.574,24.21,Yes,Motor Imagery,28.79,Fatigued
687,50,4,89353,1.567,5.671,6.39,5.186,1.918,36.72,Yes,Resting,40.52,Fatigued
688,28,6,29813,2.513,4.691,1.415,9.203,0.113,36.95,Yes,Visual Stimulus,56.95,Fatigued
689,20,3,65679,0.826,5.849,1.92,9.579,1.667,6.92,No,Cognitive Load,51.92,Relaxed
690,28,5,397798,4.794,0.707,2.086,9.307,0.512,7.8,No,Cognitive Load,3.92,Distracted
691,8,2,209755,1.505,2.068,4.677,2.993,0.195,13.58,No,Resting,9.87,Distracted
692,41,6,273541,4.65,1.575,6.403,2.708,3.315,13.93,No,Cognitive Load,10.05,Relaxed
693,39,6,299155,2.417,0.561,2.857,3.328,3.673,8.32,No,Cognitive Load,26.23,Distracted
694,1,5,355398,4.935,1.833,1.135,4.692,0.91,18.6,No,Motor Imagery,24.59,Relaxed
695,3,6,437480,2.993,4.233,3.984,3.485,2.203,25.57,Yes,Resting,74.22,Distracted
696,13,7,566605,4.689,1.771,6.111,4.055,1.184,25.24,Yes,Cognitive Load,57.27,Focused
697,28,5,178986,0.524,3.3,2.162,6.396,2.025,24.02,No,Visual Stimulus,76.4,Fatigued
698,49,1,215705,3.867,5.383,2.149,7.744,1.803,16.85,No,Resting,6.99,Distracted
699,25,8,302240,4.564,4.316,7.604,7.488,1.149,29.73,No,Motor Imagery,48.52,Relaxed
700,33,4,315929,1.129,2.67,7.656,8.237,2.832,33.93,Yes,Visual Stimulus,32.38,Focused
701,38,9,52344,0.933,2.549,7.928,0.806,0.593,17.12,No,Cognitive Load,84.99,Distracted
702,6,10,475859,2.411,3.007,6.557,0.953,0.307,7.99,Yes,Cognitive Load,70.78,Distracted
703,44,6,458819,4.702,1.474,1.911,7.999,3.094,15.37,Yes,Resting,86.93,Relaxed
704,45,1,159484,2.941,3.987,2.09,5.564,2.697,9.81,No,Cognitive Load,4.64,Focused
705,32,3,110489,2.874,2.503,3.052,5.992,2.044,21.36,No,Resting,72.08,Fatigued
706,45,3,444874,1.135,5.188,2.886,1.0,1.924,10.46,No,Cognitive Load,54.0,Relaxed
707,47,10,493057,0.504,4.661,7.674,2.925,2.04,21.2,No,Visual Stimulus,82.5,Distracted
708,21,4,442765,4.146,3.858,6.418,6.564,1.804,12.74,No,Motor Imagery,50.72,Fatigued
709,16,6,11549,0.894,2.503,5.93,8.662,1.632,30.86,No,Visual Stimulus,54.02,Distracted
710,21,7,464432,3.352,1.655,1.895,9.211,2.049,5.96,No,Motor Imagery,5.18,Relaxed
711,11,10,25739,4.616,4.769,7.321,5.254,2.161,24.42,No,Resting,66.85,Focused
712,37,4,15116,1.439,3.175,6.709,5.682,2.798,10.93,Yes,Cognitive Load,27.31,Fatigued
713,36,6,544333,3.494,1.736,1.727,8.414,2.874,5.03,No,Visual Stimulus,1.97,Relaxed
714,35,1,35709,0.854,1.573,7.034,5.607,1.573,35.42,No,Cognitive Load,6.64,Relaxed
715,19,8,229167,3.217,1.41,2.542,5.41,1.713,28.5,Yes,Resting,95.73,Fatigued
716,20,7,305063,1.238,4.774,1.107,9.098,1.557,8.46,No,Motor Imagery,34.61,Focused
717,18,9,486121,3.812,1.759,5.426,8.004,2.192,28.24,Yes,Visual Stimulus,86.81,Distracted
718,47,3,219222,1.856,3.397,5.404,9.136,1.868,26.41,No,Motor Imagery,95.97,Fatigued
719,41,2,529787,2.585,2.984,1.212,2.573,3.569,21.57,No,Motor Imagery,94.33,Relaxed
720,49,1,563329,3.197,3.688,2.891,5.482,2.816,19.67,No,Resting,88.17,Fatigued
721,14,3,293459,1.271,5.324,7.946,8.503,3.605,36.05,Yes,Motor Imagery,89.48,Fatigued
722,15,5,132371,3.837,5.273,5.588,1.556,2.866,13.58,No,Resting,28.9,Focused
723,31,2,382650,1.862,2.981,5.976,8.049,3.887,18.94,No,Motor Imagery,15.15,Focused
724,1,3,212235,3.481,0.585,2.097,2.238,2.579,16.52,Yes,Motor Imagery,63.93,Distracted
725,3,4,353791,1.212,2.845,1.091,8.177,3.858,31.99,No,Visual Stimulus,48.81,Fatigued
726,16,7,294499,3.597,3.834,2.577,6.314,0.717,37.08,No,Resting,9.87,Focused
727,23,3,335949,1.077,3.568,2.367,2.336,0.305,34.74,No,Cognitive Load,67.75,Focused
728,11,9,330511,2.414,4.082,2.259,4.997,2.359,32.92,Yes,Cognitive Load,56.29,Relaxed
729,12,8,372050,1.612,1.347,1.946,6.978,3.936,39.54,No,Cognitive Load,86.31,Focused
730,10,4,379553,3.868,4.056,4.811,6.522,1.729,29.4,Yes,Visual Stimulus,60.92,Fatigued
731,32,1,116220,1.679,1.505,2.961,4.559,0.927,31.29,No,Visual Stimulus,57.39,Fatigued
732,16,1,221421,4.468,4.628,6.653,9.044,2.134,39.4,No,Motor Imagery,44.08,Relaxed
733,8,1,349317,4.513,2.365,1.88,5.433,2.63,5.24,No,Motor Imagery,46.28,Relaxed
734,38,1,3089,1.384,4.404,3.985,5.306,1.329,27.19,Yes,Cognitive Load,95.44,Relaxed
735,12,8,282803,3.262,0.763,0.602,1.091,2.888,30.86,No,Motor Imagery,13.84,Fatigued
736,24,3,307322,0.895,2.743,4.113,9.26,3.903,37.12,No,Motor Imagery,44.62,Fatigued
737,28,6,513269,2.262,4.378,0.919,2.183,3.598,35.93,No,Visual Stimulus,65.58,Distracted
738,8,3,347186,3.71,1.748,7.833,5.519,1.237,34.47,No,Cognitive Load,43.3,Focused
739,28,5,368615,3.467,4.874,6.429,8.134,1.374,38.1,No,Resting,28.32,Relaxed
740,36,7,201798,3.311,3.969,4.176,2.547,1.549,23.81,No,Cognitive Load,28.74,Focused
741,26,2,332255,1.771,3.732,1.149,5.51,1.639,5.24,Yes,Visual Stimulus,23.37,Focused
742,8,6,237103,2.201,2.445,4.943,2.787,0.491,5.39,No,Cognitive Load,34.39,Distracted
743,50,6,89242,0.963,3.153,6.191,7.717,3.072,24.06,No,Resting,87.17,Fatigued
744,28,3,375348,3.736,3.785,1.93,5.861,1.525,20.23,No,Motor Imagery,50.52,Focused
745,28,6,153956,2.767,3.099,4.762,8.632,3.531,20.79,No,Cognitive Load,24.02,Relaxed
746,37,10,584326,3.689,4.341,6.607,8.998,3.715,19.01,No,Visual Stimulus,38.45,Relaxed
747,41,10,582074,1.62,2.885,6.262,6.663,0.195,37.12,No,Visual Stimulus,10.58,Fatigued
748,36,5,165250,1.96,1.613,6.522,7.391,3.955,17.57,No,Cognitive Load,90.4,Fatigued
749,27,2,522820,2.004,1.677,7.095,5.718,2.869,34.97,No,Motor Imagery,40.82,Fatigued
750,17,9,262678,0.616,0.532,7.533,4.152,2.13,36.6,Yes,Motor Imagery,98.04,Relaxed
751,9,8,298254,2.035,2.155,3.541,6.657,1.619,22.48,No,Visual Stimulus,34.75,Fatigued
752,33,3,415685,4.115,4.619,4.766,9.129,2.122,20.64,No,Visual Stimulus,83.64,Distracted
753,20,8,326160,4.538,4.868,6.43,4.458,1.366,31.64,No,Resting,25.64,Distracted
754,13,9,46233,2.832,1.614,5.729,3.487,2.528,29.78,No,Motor Imagery,7.62,Relaxed
755,28,3,197780,2.55,5.775,7.966,4.19,0.463,16.5,No,Cognitive Load,3.17,Distracted
756,48,3,451448,0.639,3.263,0.603,4.636,2.522,8.59,No,Visual Stimulus,60.62,Focused
757,29,2,106311,4.456,5.543,3.163,1.199,1.174,14.27,Yes,Visual Stimulus,31.16,Fatigued
758,13,8,558697,0.559,4.387,2.608,5.235,0.169,9.59,No,Visual Stimulus,44.35,Distracted
759,46,10,401954,4.751,4.473,2.467,5.196,2.256,15.32,Yes,Visual Stimulus,81.86,Fatigued
760,35,1,496246,2.701,0.968,2.169,6.09,2.356,14.16,No,Motor Imagery,24.81,Distracted
761,6,8,29709,2.039,1.71,5.818,3.947,1.764,27.32,Yes,Visual Stimulus,30.87,Fatigued
762,18,7,363,4.659,0.548,1.136,6.325,0.382,38.41,No,Motor Imagery,84.53,Relaxed
763,5,7,494829,0.61,4.439,6.062,8.843,3.584,29.0,No,Resting,49.28,Focused
764,47,3,396456,3.116,2.394,5.701,9.577,2.485,37.43,No,Resting,82.77,Fatigued
765,25,1,465417,2.97,4.827,2.381,6.044,0.551,32.44,No,Cognitive Load,37.45,Focused
766,2,4,45689,1.487,2.364,2.396,0.905,2.093,30.48,No,Visual Stimulus,39.84,Fatigued
767,10,9,264080,2.43,5.006,5.216,9.708,2.039,19.49,No,Cognitive Load,16.71,Relaxed
768,30,5,175037,3.435,1.219,6.216,7.206,0.336,16.37,No,Motor Imagery,91.63,Focused
769,50,1,208606,3.772,1.454,7.074,3.692,2.467,34.62,No,Cognitive Load,89.68,Distracted
770,45,5,882,0.503,2.375,6.891,1.898,3.252,36.69,No,Cognitive Load,98.42,Focused
771,5,8,413440,4.716,2.747,7.737,1.862,3.021,20.82,No,Visual Stimulus,40.24,Fatigued
772,33,8,125865,1.24,2.418,4.86,2.094,0.892,5.32,No,Motor Imagery,81.86,Focused
773,1,5,424041,1.551,4.7,7.315,0.933,3.463,32.74,No,Motor Imagery,41.5,Relaxed
774,18,9,463956,1.686,1.033,6.564,9.07,1.436,14.98,No,Visual Stimulus,45.43,Focused
775,32,1,28885,0.67,2.432,7.21,5.637,3.791,5.35,No,Motor Imagery,83.0,Focused
776,47,4,396419,1.054,5.105,0.587,7.15,0.38,33.17,No,Resting,17.74,Focused
777,49,3,395460,4.939,0.867,7.744,8.367,1.996,23.11,No,Visual Stimulus,22.03,Distracted
778,11,2,360466,1.918,5.683,4.051,8.02,2.429,28.98,No,Visual Stimulus,31.47,Focused
779,21,8,330763,1.019,5.925,6.486,8.885,1.066,37.01,No,Visual Stimulus,78.82,Fatigued
780,26,7,21584,0.981,0.987,1.454,9.689,3.108,23.94,No,Resting,37.27,Fatigued
781,25,9,553351,3.738,2.102,3.47,4.671,2.545,22.61,No,Motor Imagery,35.82,Focused
782,22,2,70268,4.346,2.548,2.536,9.528,0.171,15.17,Yes,Resting,99.88,Focused
783,27,4,380350,1.656,4.77,2.687,7.371,2.473,15.68,No,Resting,38.38,Distracted
784,49,6,458168,0.594,3.778,1.424,1.171,2.017,32.88,No,Resting,24.78,Relaxed
785,13,3,170635,1.504,4.044,6.543,6.977,0.865,20.72,No,Cognitive Load,62.32,Fatigued
786,33,8,170824,0.754,4.666,0.569,7.024,3.983,10.72,No,Motor Imagery,80.19,Distracted
787,34,3,395783,0.965,1.149,2.844,9.106,3.599,8.31,No,Motor Imagery,6.96,Fatigued
788,41,2,409337,2.442,5.083,1.808,4.043,1.241,21.55,No,Visual Stimulus,61.89,Fatigued
789,35,3,109876,1.535,4.381,4.918,6.057,2.21,21.27,No,Visual Stimulus,3.57,Focused
790,1,6,198153,2.822,3.675,2.407,0.616,1.334,27.87,No,Cognitive Load,52.63,Fatigued
791,21,2,23331,1.641,5.394,2.442,3.655,3.124,21.49,No,Resting,25.7,Relaxed
792,48,8,23004,4.732,4.352,4.163,1.091,3.728,10.02,Yes,Visual Stimulus,30.66,Relaxed
793,6,1,238441,4.577,1.609,5.395,5.458,1.499,22.77,No,Motor Imagery,46.71,Relaxed
794,28,7,403708,3.051,2.864,1.41,8.266,3.242,36.74,No,Visual Stimulus,92.71,Distracted
795,17,2,448013,2.095,3.217,1.816,2.461,2.044,10.58,No,Resting,71.07,Relaxed
796,5,10,189167,2.215,0.804,2.354,5.511,1.647,29.14,No,Cognitive Load,93.68,Relaxed
797,31,6,282260,2.353,5.751,7.803,2.438,3.76,25.79,No,Resting,66.0,Fatigued
798,5,2,542955,3.774,1.207,3.479,1.647,2.091,31.2,Yes,Visual Stimulus,0.71,Distracted
799,38,2,337201,2.532,4.336,4.992,5.354,1.923,10.27,No,Cognitive Load,26.56,Focused
800,3,10,598493,4.355,3.284,2.312,1.252,2.722,37.96,No,Cognitive Load,90.58,Distracted
801,23,8,27302,4.748,0.641,4.178,6.08,1.119,26.73,No,Resting,64.34,Distracted
802,37,2,404499,2.012,5.586,1.056,0.798,1.367,34.65,No,Visual Stimulus,98.16,Focused
803,37,7,162007,3.023,5.185,0.761,1.514,3.735,13.63,No,Resting,15.6,Focused
804,10,3,596822,0.928,3.383,4.016,5.725,2.746,30.88,No,Visual Stimulus,29.67,Focused
805,10,8,162696,1.402,1.759,3.49,6.118,3.324,32.34,No,Visual Stimulus,36.24,Fatigued
806,19,7,13440,2.361,1.169,1.527,0.775,1.157,18.91,No,Motor Imagery,32.66,Fatigued
807,17,8,373145,1.428,2.499,5.657,5.947,2.221,18.44,No,Cognitive Load,25.2,Fatigued
808,21,7,308645,4.445,1.905,7.947,8.466,3.888,28.02,Yes,Visual Stimulus,44.35,Relaxed
809,14,6,394485,1.212,3.287,3.467,7.362,1.343,8.27,No,Resting,64.23,Focused
810,9,7,340053,2.55,5.815,5.184,1.746,0.726,30.75,Yes,Resting,31.13,Fatigued
811,46,5,540022,3.226,3.662,7.722,6.129,2.092,6.5,No,Motor Imagery,7.97,Fatigued
812,1,7,172409,3.613,5.395,6.737,6.886,1.613,11.67,No,Motor Imagery,70.85,Distracted
813,45,1,433541,2.224,4.08,3.977,0.854,0.722,28.25,No,Motor Imagery,45.9,Fatigued
814,13,1,345744,4.411,3.114,6.031,8.626,3.565,8.44,No,Cognitive Load,55.65,Focused
815,4,9,507173,3.057,5.2,1.461,9.11,3.964,39.01,No,Motor Imagery,45.54,Focused
816,1,5,211655,2.478,3.093,4.341,8.579,2.317,35.39,No,Cognitive Load,89.04,Relaxed
817,49,5,466836,0.803,5.277,2.593,8.334,3.121,26.92,No,Motor Imagery,55.87,Relaxed
818,40,3,432184,2.591,2.104,1.709,7.577,3.45,33.67,Yes,Cognitive Load,92.33,Distracted
819,32,5,161149,4.193,1.208,3.697,6.518,2.834,36.07,No,Visual Stimulus,51.06,Relaxed
820,34,3,239654,3.265,5.204,1.483,6.947,0.272,14.08,No,Motor Imagery,29.26,Focused
821,28,9,427991,4.245,3.731,5.742,8.161,0.715,34.73,No,Cognitive Load,35.54,Relaxed
822,31,9,189216,2.723,5.39,3.922,6.794,0.377,11.82,Yes,Visual Stimulus,52.21,Relaxed
823,8,6,177169,1.033,5.658,4.484,3.613,0.139,19.47,No,Motor Imagery,53.0,Fatigued
824,39,1,131827,0.561,0.795,1.598,4.072,1.293,24.54,No,Visual Stimulus,68.73,Focused
825,26,7,301407,1.864,3.255,1.548,9.022,1.63,29.99,No,Motor Imagery,22.45,Distracted
826,34,7,317231,3.641,2.562,4.876,0.663,1.04,6.05,No,Resting,65.88,Relaxed
827,3,10,575770,4.056,3.942,7.888,7.139,0.352,15.17,No,Cognitive Load,77.86,Relaxed
828,50,10,122989,1.831,4.865,1.222,9.57,2.166,26.3,No,Resting,67.66,Distracted
829,12,4,410616,2.73,2.043,2.643,7.209,1.166,17.51,No,Cognitive Load,48.18,Distracted
830,1,8,276393,2.395,3.562,7.021,9.942,3.205,32.13,No,Resting,99.17,Focused
831,44,6,299850,2.347,4.398,1.042,7.032,0.131,27.81,No,Motor Imagery,40.48,Distracted
832,5,4,361185,1.541,1.239,7.069,0.826,3.386,13.2,No,Resting,10.66,Relaxed
833,30,4,41139,1.114,4.977,4.432,8.357,3.824,10.11,No,Motor Imagery,82.15,Focused
834,30,2,303446,1.385,3.834,3.562,3.204,2.893,27.02,No,Cognitive Load,21.22,Focused
835,17,2,225756,0.749,5.722,2.823,4.738,2.961,20.77,No,Motor Imagery,71.33,Distracted
836,48,4,349982,1.392,2.367,2.728,3.465,3.741,10.91,Yes,Resting,17.9,Focused
837,47,5,351136,0.541,1.095,2.794,3.051,0.915,16.42,No,Visual Stimulus,1.69,Relaxed
838,23,8,548065,3.323,3.286,7.136,4.598,3.979,15.61,Yes,Cognitive Load,15.98,Relaxed
839,15,6,57939,1.924,0.972,5.928,4.098,3.117,8.78,No,Visual Stimulus,37.7,Relaxed
840,37,4,446242,4.879,5.832,5.523,6.517,2.934,24.14,Yes,Visual Stimulus,10.66,Focused
841,21,7,23548,1.372,0.713,6.491,8.225,1.508,31.73,Yes,Visual Stimulus,19.77,Distracted
842,14,8,456437,2.056,4.644,2.428,3.322,2.229,25.14,No,Visual Stimulus,76.46,Relaxed
843,2,2,433917,2.11,3.388,5.135,2.53,2.65,33.92,No,Visual Stimulus,76.99,Fatigued
844,11,7,444503,0.538,2.527,3.95,6.836,2.519,9.46,No,Resting,81.75,Distracted
845,39,2,137799,4.276,0.862,6.368,6.868,2.849,20.25,No,Motor Imagery,84.12,Focused
846,38,2,181789,0.644,3.922,2.819,9.061,0.421,26.33,No,Motor Imagery,42.04,Relaxed
847,34,8,425643,4.731,3.719,5.324,0.651,1.487,28.66,No,Visual Stimulus,86.75,Focused
848,38,2,555913,4.514,2.045,7.117,8.604,1.793,29.35,No,Resting,52.59,Relaxed
849,50,9,434352,2.91,5.506,3.516,5.45,1.116,30.51,No,Visual Stimulus,47.06,Focused
850,34,1,445625,2.946,2.173,1.0,6.402,0.773,27.8,Yes,Visual Stimulus,71.85,Fatigued
851,18,9,347299,3.442,2.973,4.37,1.368,0.642,8.3,No,Cognitive Load,21.38,Focused
852,30,1,111776,2.242,3.491,3.095,4.61,1.529,29.34,No,Resting,78.95,Focused
853,15,10,513624,3.413,1.051,5.542,2.659,2.024,30.37,No,Visual Stimulus,42.95,Focused
854,27,10,212803,0.701,5.627,7.633,2.915,0.346,39.77,No,Motor Imagery,12.73,Relaxed
855,34,2,158761,0.743,2.56,4.142,5.289,3.791,29.27,No,Cognitive Load,11.93,Distracted
856,38,6,497873,2.558,0.944,3.996,8.218,3.084,29.04,No,Visual Stimulus,16.49,Focused
857,33,6,357092,2.973,2.63,5.409,7.566,2.95,23.02,No,Visual Stimulus,89.06,Distracted
858,24,1,21341,4.495,3.801,1.276,6.114,0.774,35.38,Yes,Visual Stimulus,99.09,Relaxed
859,15,7,359698,0.971,3.325,2.401,5.624,2.455,39.89,No,Resting,35.7,Focused
860,30,8,205753,4.202,4.32,7.392,4.559,2.166,32.27,No,Visual Stimulus,29.21,Relaxed
861,42,2,308474,1.445,0.805,5.525,9.741,3.932,26.44,No,Motor Imagery,21.88,Distracted
862,17,8,349903,2.273,2.065,0.601,5.822,3.016,7.76,No,Cognitive Load,82.38,Relaxed
863,5,9,348951,1.925,5.006,2.035,2.913,2.345,30.44,Yes,Resting,20.92,Relaxed
864,29,6,309044,2.301,0.939,5.621,2.686,3.418,29.8,No,Cognitive Load,92.41,Distracted
865,4,5,78840,1.177,5.205,6.233,6.308,0.705,32.14,No,Motor Imagery,66.74,Relaxed
866,10,9,165767,2.766,1.005,6.799,5.467,0.159,9.36,No,Visual Stimulus,89.71,Distracted
867,17,9,161297,4.107,5.089,2.691,0.573,2.792,27.88,No,Resting,55.4,Distracted
868,10,1,49156,2.487,2.484,7.483,8.386,0.483,15.35,No,Visual Stimulus,69.07,Focused
869,17,3,208281,2.708,3.867,4.647,7.189,0.55,31.61,Yes,Resting,61.95,Focused
870,20,9,87453,4.319,1.341,5.724,6.787,3.004,13.41,No,Visual Stimulus,83.12,Relaxed
871,24,2,25938,3.677,0.864,4.976,1.153,1.155,28.94,No,Motor Imagery,83.59,Relaxed
872,5,4,59164,2.707,1.688,1.421,3.94,2.552,15.32,No,Motor Imagery,58.98,Relaxed
873,34,4,447746,1.66,1.203,7.723,9.386,3.678,5.31,Yes,Visual Stimulus,63.25,Fatigued
874,6,2,584570,4.482,2.218,1.422,8.695,1.334,27.17,Yes,Motor Imagery,92.19,Fatigued
875,2,3,309945,3.097,3.329,2.412,3.213,0.947,8.96,No,Visual Stimulus,92.99,Focused
876,13,3,402681,1.495,3.738,6.602,1.992,0.516,28.08,No,Resting,66.42,Distracted
877,43,1,265470,1.711,4.844,5.139,4.766,0.609,37.4,No,Motor Imagery,0.78,Fatigued
878,43,6,115819,4.114,4.109,6.786,3.88,0.343,38.92,Yes,Resting,10.44,Fatigued
879,48,8,266907,0.699,3.848,4.368,6.981,0.442,13.26,No,Visual Stimulus,85.79,Distracted
880,11,3,481873,4.964,2.765,3.327,9.681,1.785,33.32,Yes,Resting,8.47,Relaxed
881,47,5,141900,1.087,3.106,7.414,3.949,1.351,17.37,No,Cognitive Load,21.35,Relaxed
882,23,1,309732,4.082,2.78,0.772,1.091,2.856,36.52,No,Visual Stimulus,23.05,Fatigued
883,16,10,404427,2.276,5.132,6.921,9.027,3.494,32.56,No,Motor Imagery,60.02,Fatigued
884,31,7,537857,2.715,1.765,2.231,0.861,3.161,7.59,No,Motor Imagery,57.66,Distracted
885,11,10,227966,4.463,0.531,6.866,9.551,2.169,19.25,No,Cognitive Load,28.94,Distracted
886,16,1,37860,2.358,4.082,1.544,6.814,0.5,16.81,Yes,Visual Stimulus,20.76,Fatigued
887,8,9,202630,2.919,1.614,4.852,9.446,2.868,32.48,Yes,Visual Stimulus,76.45,Distracted
888,4,8,523225,0.722,5.396,7.161,2.397,1.515,19.36,No,Visual Stimulus,93.55,Relaxed
889,40,7,595983,0.511,5.225,4.052,0.887,0.434,28.96,No,Visual Stimulus,5.28,Focused
890,4,10,253078,1.602,0.922,6.099,5.138,3.386,26.09,No,Resting,13.32,Fatigued
891,25,7,368893,3.563,1.085,6.535,4.781,1.419,39.15,No,Visual Stimulus,64.22,Focused
892,3,5,155976,1.046,3.223,6.024,3.649,0.951,37.82,No,Resting,80.44,Distracted
893,32,5,5636,1.012,3.851,7.44,9.598,3.499,19.97,No,Resting,79.12,Focused
894,3,5,261578,2.349,2.012,3.851,8.315,3.618,30.33,No,Motor Imagery,71.97,Fatigued
895,27,1,339273,3.415,4.442,1.798,6.785,1.422,34.03,No,Visual Stimulus,88.74,Distracted
896,29,8,283816,3.704,3.772,0.859,2.047,1.484,36.46,No,Resting,21.73,Focused
897,32,1,227693,1.303,2.287,2.348,7.476,2.361,7.38,No,Visual Stimulus,10.73,Relaxed
898,50,4,521393,0.858,0.64,1.574,7.407,2.96,15.57,Yes,Cognitive Load,61.54,Fatigued
899,19,9,654,4.732,4.626,4.685,4.538,0.346,16.21,No,Resting,82.23,Fatigued
900,21,9,578921,1.673,1.681,1.887,9.285,2.414,20.21,Yes,Motor Imagery,58.2,Fatigued
901,5,5,17143,4.34,5.09,0.792,2.086,3.816,10.92,No,Visual Stimulus,96.3,Fatigued
902,18,4,580222,4.386,2.812,0.77,3.04,1.122,22.37,No,Motor Imagery,79.56,Distracted
903,28,3,329478,3.976,3.674,6.737,1.101,3.644,28.21,No,Resting,70.08,Relaxed
904,42,3,125851,1.26,5.301,4.936,8.057,3.806,22.41,No,Resting,6.03,Relaxed
905,22,5,553375,4.198,5.25,3.186,6.407,1.15,28.3,No,Motor Imagery,10.77,Focused
906,21,10,311011,3.962,2.543,7.207,3.492,3.041,7.33,No,Visual Stimulus,78.48,Fatigued
907,6,1,444244,3.185,1.649,1.026,2.056,1.031,35.66,Yes,Resting,19.82,Fatigued
908,1,5,158272,2.017,4.763,7.852,0.881,2.977,37.87,No,Cognitive Load,2.88,Focused
909,5,6,226179,1.681,2.882,5.122,2.084,3.21,26.63,No,Motor Imagery,91.08,Distracted
910,41,7,502716,1.049,1.556,1.876,4.806,1.064,35.85,No,Resting,89.08,Relaxed
911,12,9,217508,2.794,5.474,5.593,2.848,2.892,9.6,No,Visual Stimulus,21.85,Fatigued
912,26,3,350036,3.134,1.59,6.225,2.96,3.267,32.91,No,Resting,78.02,Focused
913,46,2,219631,2.117,0.642,3.72,8.818,1.498,9.17,No,Visual Stimulus,4.8,Relaxed
914,34,3,382188,2.639,0.612,6.962,5.394,0.754,19.28,Yes,Visual Stimulus,28.51,Focused
915,49,9,39148,2.136,3.923,1.63,7.428,0.459,16.33,No,Resting,62.37,Focused
